DATE,CURRENCY,UNITS
10/03/2017,ETH,2
10/18/2017,ETH,2.323931
11/02/2017,ETH,0.7
11/02/2017,ETH,2.09180514
11/07/2017,ETH,0.998
11/09/2017,ETH,1.0126691
11/14/2017,ETH,1.00796876
11/14/2017,ETH,1.01831379
11/16/2017,ETH,1.24295022
11/18/2017,ETH,4.7845007
11/19/2017,ETH,4.7840597
11/19/2017,VIU,19.9712
11/24/2017,VIU,19.9712
12/06/2017,BTC,0.10704004
12/09/2017,ZNY,6283.779995
12/11/2017,BTC,0.0045
12/13/2017,BTC,0.00436029
12/15/2017,ZNY,250
12/15/2017,ZNY,2500
12/15/2017,ZNY,280.6799953
12/16/2017,ZNY,1250
12/16/2017,ZNY,2003
12/17/2017,DOGE,15220.84991
12/30/2017,ETH,0.09529
12/30/2017,ETH,0.26169794
12/31/2017,ETH,0.24698794
01/03/2018,DOGE,13995.40794
01/03/2018,DOGE,214823.9281
01/04/2018,SRN,2069.4035
01/04/2018,BTC,0.16502229
01/09/2018,DOGE,89993.92106
01/10/2018,BTC,0.0773854
01/10/2018,SRN,436.7601
01/12/2018,SRN,500
01/12/2018,BTC,0.06987352
01/25/2018,ETH,0.520107
01/25/2018,MLD,303928.3339
01/26/2018,DOGE,49097.67846
01/28/2018,DOGE,39316.82581
02/04/2018,IOST,68
02/13/2018,RFR,200
02/16/2018,SRN,529.5916
02/20/2018,ETH,0.00281
02/23/2018,LUCD,777
02/28/2018,SRN,306.5624
03/02/2018,ALP,36
03/02/2018,RKT,5500
03/02/2018,GSC,20
03/03/2018,WFEE,50
