支払日時,日付,支払ボーナス,支払通貨
2017-12-15 16:25:27.807312,2017-12-14,7.90000000,jpy
2017-12-14 10:34:34.664072,2017-12-13,11.40000000,jpy
2017-12-13 10:02:05.007574,2017-12-12,21.00000000,jpy
2017-12-12 11:57:55.489175,2017-12-11,6.50000000,jpy
2017-11-24 10:08:03.810359,2017-11-23,6.80000000,jpy
2017-10-20 23:19:36.441064,2017-10-19,1.50000000,jpy
2017-10-14 13:54:54.317247,2017-10-13,3.00000000,jpy
2017-10-13 11:46:37.844567,2017-10-12,1.00000000,jpy
2017-10-03 12:01:24.263941,2017-10-02,0.20000000,jpy
2017-08-24 10:30:44.598890,2017-08-23,27.60000000,jpy
2017-08-23 10:37:57.599641,2017-08-22,29.30000000,jpy
2017-08-21 10:00:37.142327,2017-08-20,2.60000000,jpy
